transaction_id,customer_id,merchant_id,transaction_timestamp,amount,currency,transaction_type,status
TXN001,CUST001,M001,2026-09-01 09:15:00,125.50,USD,PURCHASE,COMPLETED
TXN002,CUST002,M002,2026-09-01 10:20:00,75.25,USD,PURCHASE,COMPLETED
TXN003,CUST001,M001,2026-09-01 11:05:00,210.00,USD,PURCHASE,COMPLETED
TXN004,CUST003,M003,2026-09-01 12:30:00,50.75,USD,REFUND,COMPLETED
TXN005,CUST002,M002,2026-09-01 13:10:00,320.00,USD,PURCHASE,COMPLETED
TXN006,CUST004,M001,2026-09-02 09:45:00,99.99,USD,PURCHASE,COMPLETED
TXN007,CUST001,M003,2026-09-02 10:15:00,450.00,USD,PURCHASE,COMPLETED
TXN008,CUST003,M002,2026-09-02 11:40:00,125.00,USD,PURCHASE,FAILED
TXN009,CUST004,M001,2026-09-02 14:25:00,80.00,USD,PURCHASE,COMPLETED
TXN010,CUST002,M003,2026-09-02 15:30:00,175.75,USD,PURCHASE,COMPLETED
TXN011,CUST005,M002,2026-09-03 09:05:00,60.00,USD,PURCHASE,COMPLETED
TXN012,CUST001,M001,2026-09-03 10:50:00,275.25,USD,PURCHASE,COMPLETED
TXN013,CUST005,M003,2026-09-03 12:15:00,90.50,USD,PURCHASE,COMPLETED
TXN014,CUST003,M001,2026-09-03 13:45:00,150.00,USD,PURCHASE,COMPLETED
TXN015,CUST004,M002,2026-09-03 16:20:00,220.00,USD,PURCHASE,COMPLETED
